Variable,Numero,Importe,Media,Region
  PATRIMONIO TOTAL,87382.0,237601771020.0,2719116.0,catalonia
  TOTAL BIENES Y DERECHOS SEGÚN SU EXENCIÓN,87382.0,237601771020.0,2719116.0,catalonia
  BASE IMPONIBLE,87115.0,137153032915.0,1574391.0,catalonia
  BASE LIQUIDABLE,84877.0,94050171603.0,1108076.0,catalonia
  CUOTA ÍNTEGRA,84877.0,1195157647.0,14081.0,catalonia
  DEDUCCIONES Y BONIFICACIONES,1140.0,385233.0,3379.0,catalonia
  CUOTA MINORADA,84869.0,607434164.0,7157.0,catalonia
  BONIFICACIÓN AUTONÓMICA,1550.0,480964.0,3103.0,catalonia
RESULTADO DE LA DECLARACIÓN,84867.0,606.953.200,7152.0,catalonia
  PATRIMONIO TOTAL,1236.0,2894139349.0,2341537.0,extremadura
  TOTAL BIENES Y DERECHOS SEGÚN SU EXENCIÓN,1236.0,2894139349.0,2341537.0,extremadura
  BASE IMPONIBLE,1234.0,1419936349.0,1150678.0,extremadura
  BASE LIQUIDABLE,1196.0,800248136.0,669104.0,extremadura
  CUOTA ÍNTEGRA,1196.0,7968555.0,6663.0,extremadura
  DEDUCCIONES Y BONIFICACIONES,,,,extremadura
  CUOTA MINORADA,1196.0,5696760.0,4763.0,extremadura
  BONIFICACIÓN AUTONÓMICA,0.0,0.0,,extremadura
RESULTADO DE LA DECLARACIÓN,1196.0,5.696.760,4763.0,extremadura
  PATRIMONIO TOTAL,8634.0,58980064572.0,6831140.0,galicia
  TOTAL BIENES Y DERECHOS SEGÚN SU EXENCIÓN,8634.0,58980064572.0,6831140.0,galicia
  BASE IMPONIBLE,8597.0,17521639242.0,2038111.0,galicia
  BASE LIQUIDABLE,8027.0,11676731453.0,1454682.0,galicia
  CUOTA ÍNTEGRA,8027.0,165220370.0,20583.0,galicia
  DEDUCCIONES Y BONIFICACIONES,,,,galicia
  CUOTA MINORADA,8027.0,92533095.0,11528.0,galicia
  BONIFICACIÓN AUTONÓMICA,8027.0,23133274.0,2882.0,galicia
RESULTADO DE LA DECLARACIÓN,8027.0,69.399.821,8646.0,galicia
  PATRIMONIO TOTAL,23486.0,259567569003.0,11052013.0,madrid
  TOTAL BIENES Y DERECHOS SEGÚN SU EXENCIÓN,23486.0,259567569003.0,11052013.0,madrid
  BASE IMPONIBLE,23326.0,150457843492.0,6450221.0,madrid
  BASE LIQUIDABLE,22185.0,134515362392.0,6063347.0,madrid
  CUOTA ÍNTEGRA,22185.0,2840790946.0,12805.0,madrid
  DEDUCCIONES Y BONIFICACIONES,610.0,464264.0,7611.0,madrid
  CUOTA MINORADA,22185.0,1259705995.0,56782.0,madrid
  BONIFICACIÓN AUTONÓMICA,22185.0,1259705995.0,56782.0,madrid
RESULTADO DE LA DECLARACIÓN,0.0,0.0,,madrid
  PATRIMONIO TOTAL,28009.0,80129155848.0,2860836.0,valencia
  TOTAL BIENES Y DERECHOS SEGÚN SU EXENCIÓN,28009.0,80129155848.0,2860836.0,valencia
  BASE IMPONIBLE,27891.0,40177283835.0,1440511.0,valencia
  BASE LIQUIDABLE,26905.0,26236044296.0,975136.0,valencia
  CUOTA ÍNTEGRA,26905.0,322264892.0,11978.0,valencia
  DEDUCCIONES Y BONIFICACIONES,350.0,142525.0,4072.0,valencia
  CUOTA MINORADA,26905.0,186587536,6935.0,valencia
  BONIFICACIÓN AUTONÓMICA,0.0,0.0,,valencia
RESULTADO DE LA DECLARACIÓN,26905.0,186.587.536,6935.0,valencia
  PATRIMONIO TOTAL,4119.0,9793993409.0,2377760.0,asturias
  TOTAL BIENES Y DERECHOS SEGÚN SU EXENCIÓN,4119.0,9793993409.0,2377760.0,asturias
  BASE IMPONIBLE,4099.0,6083045295.0,1484032.0,asturias
  BASE LIQUIDABLE,3871.0,3271240802.0,845063.0,asturias
  CUOTA ÍNTEGRA,3871.0,32621543.0,8427.0,asturias
  DEDUCCIONES Y BONIFICACIONES,,,,asturias
  CUOTA MINORADA,3871.0,20757418.0,5362.0,asturias
  BONIFICACIÓN AUTONÓMICA,11.0,103346.0,9395.0,asturias
RESULTADO DE LA DECLARACIÓN,3871.0,20.654.072,5336.0,asturias
