Region,Age Bin,Population,Share
01 Andalucía,30–44,1773005,0.30306560334755783
01 Andalucía,45–64,2550042,0.4358871053897835
01 Andalucía,65+,1527188,0.2610472912626587
01 Araba/Álava,30–44,64880,0.2701746057524538
01 Araba/Álava,45–64,102202,0.4255916315831116
01 Araba/Álava,65+,73059,0.30423376266443464
02 Albacete,30–44,76223,0.28165230500908994
02 Albacete,45–64,118561,0.4380958363510058
02 Albacete,65+,75844,0.2802518586399042
02 Aragón,30–44,257402,0.2704339411921064
02 Aragón,45–64,401567,0.42189783475921167
02 Aragón,65+,292842,0.30766822404868194
03 Alicante/Alacant,30–44,381969,0.2825496628731419
03 Alicante/Alacant,45–64,576625,0.42654037200460104
03 Alicante/Alacant,65+,393271,0.29090996512225703
"03 Asturias, Principado de",30–44,180830,0.2310693233526583
"03 Asturias, Principado de",45–64,329023,0.4204342309210955
"03 Asturias, Principado de",65+,272726,0.34849644572624616
04 Almería,30–44,168177,0.3421033895650299
04 Almería,45–64,209475,0.426111225251578
04 Almería,65+,113945,0.2317853851833921
"04 Balears, Illes",30–44,277455,0.3375919402821631
"04 Balears, Illes",45–64,349594,0.42536669647691533
"04 Balears, Illes",65+,194816,0.23704136324092157
05 Canarias,30–44,476487,0.3061313387459773
05 Canarias,45–64,705074,0.4529929411190257
05 Canarias,65+,374918,0.240875720134997
05 Ávila,30–44,27503,0.2307008346265151
05 Ávila,45–64,49839,0.4180598079100784
05 Ávila,65+,41873,0.35123935746340645
06 Badajoz,30–44,132063,0.2812537935176371
06 Badajoz,45–64,203203,0.4327602326477848
06 Badajoz,65+,134285,0.28598597383457813
06 Cantabria,30–44,112724,0.2601301065914058
06 Cantabria,45–64,185589,0.4282786837957525
06 Cantabria,65+,135024,0.31159120961284176
"07 Balears, Illes",30–44,277455,0.3375919402821631
"07 Balears, Illes",45–64,349594,0.42536669647691533
"07 Balears, Illes",65+,194816,0.23704136324092157
07 Castilla y León,30–44,420304,0.23478217638715956
07 Castilla y León,45–64,747865,0.41775803309933546
07 Castilla y León,65+,622018,0.347459790513505
08 Barcelona,30–44,1197104,0.30223579514182386
08 Barcelona,45–64,1661199,0.41940700277820697
08 Barcelona,65+,1102525,0.2783572020799691
08 Castilla - La Mancha,30–44,418180,0.2919564320407837
08 Castilla - La Mancha,45–64,618800,0.4320212352260676
08 Castilla - La Mancha,65+,395357,0.2760223327331487
09 Burgos,30–44,63951,0.24329568237760268
09 Burgos,45–64,111382,0.4237425481162475
09 Burgos,65+,87520,0.3329617695061498
09 Cataluña,30–44,1618172,0.3005996306621387
09 Cataluña,45–64,2266807,0.4210932749932335
09 Cataluña,65+,1498168,0.2783070943446278
10 Comunitat Valenciana,30–44,1031821,0.2863225889162281
10 Comunitat Valenciana,45–64,1550428,0.4302321419007848
10 Comunitat Valenciana,65+,1021452,0.2834452691829872
10 Cáceres,30–44,71585,0.2495981534234539
10 Cáceres,45–64,122793,0.4281470427230031
10 Cáceres,65+,92423,0.32225480385354305
11 Cádiz,30–44,258550,0.3001495233363207
11 Cádiz,45–64,382963,0.44458001123746815
11 Cádiz,65+,219891,0.2552704654262112
11 Extremadura,30–44,203648,0.26925029615840246
11 Extremadura,45–64,325996,0.43101095786089016
11 Extremadura,65+,226708,0.2997387459807074
12 Castellón/Castelló,30–44,118860,0.28546039675296603
12 Castellón/Castelló,45–64,180295,0.43300590806474853
12 Castellón/Castelló,65+,117225,0.28153369518228544
12 Galicia,30–44,512188,0.25050400316927757
12 Galicia,45–64,829908,0.4058964213574094
12 Galicia,65+,702534,0.34359957547331305
13 Ciudad Real,30–44,96210,0.27838380564927284
13 Ciudad Real,45–64,148427,0.4294737877674319
13 Ciudad Real,65+,100965,0.2921424065832952
"13 Madrid, Comunidad de",30–44,1446942,0.30902495834296184
"13 Madrid, Comunidad de",45–64,2000061,0.42715517775307
"13 Madrid, Comunidad de",65+,1235279,0.26381986390396817
14 Córdoba,30–44,151360,0.2796308783727611
14 Córdoba,45–64,233810,0.43195359191553434
14 Córdoba,65+,156115,0.28841552971170453
"14 Murcia, Región de",30–44,325932,0.32176101200142554
"14 Murcia, Región de",45–64,439800,0.43417183056044495
"14 Murcia, Región de",65+,247231,0.24406715743812954
"15 Coruña, A",30–44,214610,0.2531354423825234
"15 Coruña, A",45–64,347436,0.40980553357073013
"15 Coruña, A",65+,285761,0.3370590240467465
"15 Navarra, Comunidad Foral de",30–44,127813,0.27829659741894186
"15 Navarra, Comunidad Foral de",45–64,196819,0.42854841062645205
"15 Navarra, Comunidad Foral de",65+,134637,0.29315499195460615
16 Cuenca,30–44,37168,0.26091778927490855
16 Cuenca,45–64,60110,0.42196965974264833
16 Cuenca,65+,45173,0.31711255098244306
16 País Vasco,30–44,408123,0.25429475967975995
16 País Vasco,45–64,684612,0.426570529016693
16 País Vasco,65+,512186,0.31913471130354704
17 Girona,30–44,163161,0.302027511064957
17 Girona,45–64,230339,0.4263807826085347
17 Girona,65+,146719,0.2715917063265083
"17 Rioja, La",30–44,62336,0.2731339686712674
"17 Rioja, La",45–64,97036,0.4251769087523277
"17 Rioja, La",65+,68853,0.30168912257640484
18 Ceuta,30–44,17458,0.3453473650894129
18 Ceuta,45–64,22716,0.4493590758031334
18 Ceuta,65+,10378,0.2052935591074537
18 Granada,30–44,189879,0.29727863678208427
18 Granada,45–64,276698,0.43320432612521215
18 Granada,65+,172147,0.2695170370927036
19 Guadalajara,30–44,58014,0.3156760639253008
19 Guadalajara,45–64,81824,0.44523525794849195
19 Guadalajara,65+,43939,0.2390886781262073
19 Melilla,30–44,17590,0.3620757086103621
19 Melilla,45–64,21504,0.44264218521644266
19 Melilla,65+,9487,0.19528210617319527
20 Gipuzkoa,30–44,130572,0.25195908356762575
20 Gipuzkoa,45–64,220430,0.42535414017409356
20 Gipuzkoa,65+,167225,0.3226867762582806
21 Huelva,30–44,115270,0.31448651421150564
21 Huelva,45–64,159385,0.4348436979925464
21 Huelva,65+,91879,0.250669787795948
22 Huesca,30–44,43653,0.2685214802421141
22 Huesca,45–64,67956,0.418015845676886
22 Huesca,65+,50959,0.3134626740809999
23 Jaén,30–44,120144,0.2761493004557898
23 Jaén,45–64,190117,0.4369812604437457
23 Jaén,65+,124808,0.28686943910046453
24 León,30–44,78837,0.2261707016894596
24 León,45–64,143590,0.4119366674986301
24 León,65+,126146,0.36189263081191025
25 Lleida,30–44,89203,0.2905285030794334
25 Lleida,45–64,131138,0.4271081335474226
25 Lleida,65+,86696,0.28236336337314394
"26 Rioja, La",30–44,62336,0.2731339686712674
"26 Rioja, La",45–64,97036,0.4251769087523277
"26 Rioja, La",65+,68853,0.30168912257640484
27 Lugo,30–44,58918,0.2309513543177453
27 Lugo,45–64,99232,0.3889773039081181
27 Lugo,65+,96960,0.38007134177413665
28 Madrid,30–44,1446942,0.30902495834296184
28 Madrid,45–64,2000061,0.42715517775307
28 Madrid,65+,1235279,0.26381986390396817
29 Málaga,30–44,364627,0.3059860059111515
29 Málaga,45–64,515513,0.43260582421289545
29 Málaga,65+,311506,0.2614081698759531
30 Murcia,30–44,325932,0.32176101200142554
30 Murcia,45–64,439800,0.43417183056044495
30 Murcia,65+,247231,0.24406715743812954
31 Navarra,30–44,127813,0.27829659741894186
31 Navarra,45–64,196819,0.42854841062645205
31 Navarra,65+,134637,0.29315499195460615
32 Ourense,30–44,52294,0.2179506949798904
32 Ourense,45–64,90701,0.37802321462062644
32 Ourense,65+,96940,0.4040260903994832
33 Asturias,30–44,180830,0.2310693233526583
33 Asturias,45–64,329023,0.4204342309210955
33 Asturias,65+,272726,0.34849644572624616
34 Palencia,30–44,28087,0.23294988015360243
34 Palencia,45–64,50316,0.4173142795531264
34 Palencia,65+,42168,0.3497358402932712
"35 Palmas, Las",30–44,248487,0.30979746788098667
"35 Palmas, Las",45–64,369119,0.4601936179629595
"35 Palmas, Las",65+,184489,0.23000891415605385
36 Pontevedra,30–44,186366,0.265562613818045
36 Pontevedra,45–64,292539,0.4168540478612895
36 Pontevedra,65+,222873,0.3175833383206655
37 Salamanca,30–44,56075,0.22773330734148015
37 Salamanca,45–64,101268,0.4112723418253591
37 Salamanca,65+,88888,0.3609943508331607
38 Santa Cruz de Tenerife,30–44,228000,0.3022333453519693
38 Santa Cruz de Tenerife,45–64,335955,0.44533685762158265
38 Santa Cruz de Tenerife,65+,190429,0.2524297970264481
39 Cantabria,30–44,112724,0.2601301065914058
39 Cantabria,45–64,185589,0.4282786837957525
39 Cantabria,65+,135024,0.31159120961284176
40 Segovia,30–44,27878,0.2496865259914735
40 Segovia,45–64,48574,0.43504818543331064
40 Segovia,65+,35200,0.31526528857521585
41 Sevilla,30–44,404998,0.30589527302609715
41 Sevilla,45–64,582081,0.4396461869399445
41 Sevilla,65+,336897,0.25445854003395835
42 Soria,30–44,15532,0.23778686140326705
42 Soria,45–64,27239,0.41701495736309496
42 Soria,65+,22548,0.345198181233638
43 Tarragona,30–44,168704,0.2933661181470552
43 Tarragona,45–64,244131,0.42452913854655927
43 Tarragona,65+,162228,0.2821047433063856
44 Teruel,30–44,24773,0.2542045909310129
44 Teruel,45–64,40388,0.41443567668517134
44 Teruel,65+,32292,0.3313597323838158
45 Toledo,30–44,150565,0.30735140718422305
45 Toledo,45–64,209878,0.428428244525689
45 Toledo,65+,129436,0.26422034829008795
46 Valencia/València,30–44,530992,0.2892970466194777
46 Valencia/València,45–64,793508,0.43232199518811676
46 Valencia/València,65+,510956,0.2783809581924056
47 Valladolid,30–44,94750,0.24733995342960666
47 Valladolid,45–64,163667,0.42724420219486475
47 Valladolid,65+,124659,0.3254158443755286
48 Bizkaia,30–44,212671,0.251219947244886
48 Bizkaia,45–64,361980,0.42759283825111954
48 Bizkaia,65+,271902,0.32118721450399446
49 Zamora,30–44,27691,0.20867841774870569
49 Zamora,45–64,51990,0.3917948408780907
49 Zamora,65+,53016,0.3995267413732036
50 Zaragoza,30–44,188976,0.27316960349238933
50 Zaragoza,45–64,293223,0.42386128738490003
50 Zaragoza,65+,209591,0.30296910912271063
51 Ceuta,30–44,17458,0.3453473650894129
51 Ceuta,45–64,22716,0.4493590758031334
51 Ceuta,65+,10378,0.2052935591074537
52 Melilla,30–44,17590,0.3620757086103621
52 Melilla,45–64,21504,0.44264218521644266
52 Melilla,65+,9487,0.19528210617319527
National Total,30–44,9688410,0.2892628001060386
National Total,45–64,14323241,0.4276430083216562
National Total,65+,9481802,0.2830941915723052
