concept,element,estadistico,breakdown,category,measure,wave,value
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2022,31.740499773535547
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2022,41.63975909021027
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2022,56.843439224862365
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2022,92.407533113937
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2022,22.57861701045624
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2022,27.3397773
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2022,35.574163459999994
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2022,49.21857599999999
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2022,72.74349081999999
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2022,19.23266598
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2022,29.886741462287137
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2022,38.166427018696986
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2022,51.78787754070507
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2022,72.99380894523219
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2022,21.09223000821549
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2022,25.91846853267926
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2022,33.7349179685471
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2022,44.803570197662665
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2022,57.86438955417688
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2022,18.28256783148175
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2022,3.6343471725125687
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2022,5.912066694202426
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2022,7.264179188184791
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2022,20.673009772790547
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2022,3.0576873118732824
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2022,0.407397437599192
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2022,0.9949207791083536
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2022,4.122599913432404
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2022,8.693400432837974
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2022,0.936570134179772
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,31.021670826304995
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,41.27666476789207
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,53.68076666310597
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,92.63119479768096
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,24.104334638740543
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,26.52282158551602
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,36.46677903335807
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,46.34149916509603
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,68.54942432272739
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,20.430609975309
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,29.386447577222658
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,38.70291626722905
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,48.73715229020243
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,70.16523121354278
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,22.66601181950719
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,25.880085216522588
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,34.26927225574947
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,43.14535076251835
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,54.77764277238624
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,20.22851435328658
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,3.2002974684213417
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,4.93699363980682
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,4.897560424854477
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,26.10826816817245
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,2.9878262441470187
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,0.5236379933942261
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,0.7264160781275484
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,3.1931386580492576
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,8.980940543956942
